agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 1883,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-156207,,no,4740,2020-09-10T07:00,,,,12326.43,10212.56,173.09,562.70,54002.8192,352.2967,54002.8192,194.0000,26,0,0,1.000,1.000,REFUSED_ALL_FULL,12306.38,20.05,1,B_optimized_placement,1.0576,26,25-54,MALE,0,unimpaired,0,0,0,0
Site 1884,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-201616,,no,4740,2020-09-10T07:00,,,,7341.43,5225.03,173.09,562.70,54002.8192,226.7183,54002.8192,194.0000,37,0,0,1.000,1.000,REFUSED_ALL_FULL,7318.85,22.58,1,B_optimized_placement,1.1377,37,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 1885,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-201403,,no,4740,2020-09-10T07:00,,,,5388.03,3274.54,173.09,562.70,54002.8192,144.6600,54002.8192,194.0000,31,0,0,1.000,1.000,REFUSED_ALL_FULL,5368.37,19.66,1,B_optimized_placement,1.5698,31,25-54,OTHER,0,unimpaired,0,0,0,0
Site 1886,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-112774,,no,4740,2020-09-10T07:00,,,,6087.68,3985.09,173.09,562.70,54002.8192,274.4600,54002.8192,194.0000,48,0,1,1.000,1.000,REFUSED_ALL_FULL,6078.92,8.77,1,B_optimized_placement,0.8685,48,25-54,MALE,1,ambulant_impaired_no_aid,0,1,1,1
Site 1887,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-149875,,no,4740,2020-09-10T07:00,,,,11635.19,9443.17,173.09,562.70,54002.8192,308.8333,54002.8192,194.0000,51,0,0,1.000,1.000,REFUSED_ALL_FULL,11536.99,98.20,1,B_optimized_placement,1.1319,51,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 1888,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-222023,,no,4740,2020-09-10T07:00,,,,6118.54,3999.64,173.09,562.70,54002.8192,179.6900,54002.8192,194.0000,50,0,0,1.000,1.000,REFUSED_ALL_FULL,6093.46,25.07,1,B_optimized_placement,1.3214,50,25-54,OTHER,0,unimpaired,0,0,0,0
Site 1889,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-129843,,no,4740,2020-09-10T07:00,,,,5925.69,3812.87,173.09,562.70,54002.8192,144.8650,54002.8192,194.0000,35,0,0,1.000,1.000,REFUSED_ALL_FULL,5906.70,19.00,1,B_optimized_placement,1.6079,35,25-54,MALE,0,unimpaired,0,0,0,0
Site 1890,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-102534,,no,4740,2020-09-10T07:00,,,,5829.62,3697.24,173.09,562.70,54002.8192,196.0042,54002.8192,194.0000,48,0,0,1.000,1.000,REFUSED_ALL_FULL,5791.07,38.56,1,B_optimized_placement,1.1849,48,25-54,MALE,0,unimpaired,0,0,0,0
Site 1891,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-178776,,no,4740,2020-09-10T07:00,,,,5094.91,2983.07,173.09,562.70,54002.8192,148.4383,54002.8192,194.0000,65,0,0,1.000,1.000,REFUSED_ALL_FULL,5076.90,18.01,1,B_optimized_placement,1.4809,65,55-69,MALE,0,unimpaired,0,0,0,1
Site 1892,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-201608,,no,4740,2020-09-10T07:00,,,,13065.25,10959.54,173.09,562.70,54002.8192,759.6025,54002.8192,194.0000,34,0,0,1.000,1.000,REFUSED_ALL_FULL,13053.37,11.89,1,B_optimized_placement,0.5671,34,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
