agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 545,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-201738,OCC,yes,4740,2020-09-10T07:00,4752.0,2020-09-10T07:12,12.0,952.96,951.72,17.25,112.1,1366.0542,11.95,1366.0542,6.2167,24,0,0,1.0,1.0,SHELTERED,951.72,1.25,0,A_current_placement,1.2647,24,18-24,MALE,0,unimpaired,0,0,0,0
Site 560,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-212144,CJ,yes,4740,2020-09-10T07:00,5841.0,2020-09-11T01:21,1101.0,20113.06,11525.26,53.57,299.55,5214.6267,500.4158,5214.6267,24.3667,43,1,0,1.0,1.0,SHELTERED,20094.62,18.45,0,A_current_placement,1.7511,43,25-54,MALE,0,unimpaired,1,0,1,1
Site 561,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-112905,OCC,yes,4740,2020-09-10T07:00,4748.0,2020-09-10T07:08,8.0,706.3,680.41,17.21,112.1,1362.0708,7.9667,1362.0708,6.15,27,0,0,1.0,1.0,SHELTERED,680.41,25.89,0,A_current_placement,1.389,27,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 562,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-102148,OCC,yes,4740,2020-09-10T07:00,4748.0,2020-09-10T07:08,8.0,761.03,709.92,17.21,112.1,1362.0708,7.9667,1362.0708,6.15,48,0,0,1.0,1.0,SHELTERED,709.92,51.12,0,A_current_placement,1.5353,48,25-54,MALE,0,unimpaired,0,0,0,0
Site 580,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123869,OCC,yes,4740,2020-09-10T07:00,4753.0,2020-09-10T07:13,13.0,1162.9,1147.8,17.26,112.1,1367.05,12.9458,1367.05,6.2333,30,0,0,1.0,1.0,SHELTERED,1147.8,15.1,0,A_current_placement,1.4867,30,25-54,MALE,0,unimpaired,0,0,0,0
Site 588,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-221894,CJ,yes,4740,2020-09-10T07:00,5845.0,2020-09-11T01:25,1105.0,15553.86,6872.22,53.72,299.55,5233.43,474.8525,5233.43,24.4333,42,0,0,1.0,1.0,SHELTERED,15441.58,112.28,0,A_current_placement,1.6723,42,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 593,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-140480,CJ,yes,4740,2020-09-10T07:00,5845.0,2020-09-11T01:25,1105.0,22180.94,13462.68,53.72,299.55,5233.43,558.2717,5233.43,24.4333,41,0,0,1.0,1.0,SHELTERED,22032.04,148.9,0,A_current_placement,1.6679,41,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 596,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-190543,CJ,yes,4740,2020-09-10T07:00,5835.0,2020-09-11T01:15,1095.0,22355.71,13748.24,53.33,299.55,5186.4217,487.0383,5186.4217,24.2667,46,0,1,1.0,1.0,SHELTERED,22317.6,38.11,0,A_current_placement,1.8958,46,25-54,MALE,0,unimpaired,0,1,1,1
Site 599,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-112922,CJ,yes,4740,2020-09-10T07:00,5842.0,2020-09-11T01:22,1102.0,11609.56,2996.5,53.6,299.55,5219.3275,419.67,5219.3275,24.3833,51,0,0,1.0,1.0,SHELTERED,11565.86,43.7,0,A_current_placement,1.7398,51,25-54,MALE,0,unimpaired,0,0,0,0
Site 604,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-221975,OCC,yes,4740,2020-09-10T07:00,4753.0,2020-09-10T07:13,13.0,958.28,937.22,17.26,112.1,1367.05,12.9458,1367.05,6.2333,27,1,0,1.0,1.0,SHELTERED,937.22,21.05,0,A_current_placement,1.1777,27,25-54,FEMALE,0,unimpaired,1,0,1,1
