agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state
Site 38,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-149709,CJ,yes,960,2020-09-07T16:00,1004,2020-09-07T16:44,44.0,3445.16,3379.80,12.39,82.50,207.2833,60.5000,207.2833,0.7500,,,,1.000,1.000,SHELTERED
Site 39,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-150087,OCC,yes,960,2020-09-07T16:00,993,2020-09-07T16:33,33.0,2599.37,2598.05,11.61,82.50,192.1583,45.3750,192.1583,0.5667,,,,1.000,1.000,SHELTERED
Site 40,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-102045,OCC,yes,960,2020-09-07T16:00,1111,2020-09-07T18:31,151.0,11855.85,11833.88,19.52,112.10,361.4950,214.7117,361.4950,2.5333,,,,1.000,1.000,SHELTERED
Site 41,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-178808,OCC,yes,960,2020-09-07T16:00,1025,2020-09-07T17:05,65.0,5116.43,5057.94,13.77,82.50,235.2883,88.5050,235.2883,1.1000,,,,1.000,1.000,SHELTERED
Site 42,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-145308,OCC,yes,960,2020-09-07T16:00,998,2020-09-07T16:38,38.0,2967.35,2963.02,11.97,82.50,199.0333,52.2500,199.0333,0.6500,,,,1.000,1.000,SHELTERED
Site 43,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-190729,OCC,yes,960,2020-09-07T16:00,1001,2020-09-07T16:41,41.0,3265.44,3230.45,12.18,82.50,203.1583,56.3750,203.1583,0.7000,,,,1.000,1.000,SHELTERED
Site 44,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-149705,OCC,yes,960,2020-09-07T16:00,1062,2020-09-07T17:42,102.0,7979.53,7956.45,15.86,82.50,280.7983,134.0150,280.7983,1.7167,,,,1.000,1.000,SHELTERED
Site 45,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-149980,OCC,yes,960,2020-09-07T16:00,1077,2020-09-07T17:57,117.0,9169.62,9168.33,16.67,82.50,299.2483,152.4650,299.2483,1.9667,,,,1.000,1.000,SHELTERED
Site 46,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-190456,OCC,yes,960,2020-09-07T16:00,1058,2020-09-07T17:38,98.0,7653.07,7651.80,15.65,82.50,275.8783,129.0950,275.8783,1.6500,,,,1.000,1.000,SHELTERED
Site 47,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-212243,OCC,yes,960,2020-09-07T16:00,982,2020-09-07T16:22,22.0,1782.05,1768.38,10.82,82.50,177.0333,30.2500,177.0333,0.3833,,,,1.000,1.000,SHELTERED
Site 48,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-102026,CJ,yes,960,2020-09-07T16:00,981,2020-09-07T16:21,21.0,1713.75,1665.30,10.74,82.50,175.6583,28.8750,175.6583,0.3667,,,,1.000,1.000,SHELTERED
Site 49,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-134257,OCC,yes,960,2020-09-07T16:00,1086,2020-09-07T18:06,126.0,9849.52,9848.27,17.39,112.10,314.7867,168.0033,314.7867,2.1167,,,,1.000,1.000,SHELTERED
