Encampment report id,Longitude,Latitude,People_starting_here
25-221982,-122.573298,45.487966,4
25-190685,-122.630972,45.534965,4
25-190677,-122.68163,45.5769,4
26-140480,-122.729781,45.622821,4
26-140451,-122.729259,45.589694,4
25-123831,-122.566266,45.496976,4
25-156604,-122.732737,45.586947,4
25-156574,-122.537419,45.544483,4
25-102327,-122.571008,45.479321,4
26-149973,-122.592246,45.534424,4
25-222263,-122.65686,45.52661,4
25-222247,-122.648771,45.489677,4
26-149946,-122.57066,45.469899,4
25-167933,-122.660347,45.535165,4
25-134496,-122.71378,45.58648,4
25-134485,-122.577435,45.532495,4
25-134430,-122.494966,45.504574,4
25-134362,-122.675786,45.525878,4
25-134358,-122.665254,45.530804,4
25-134351,-122.519971,45.55223,4
25-134347,-122.513285,45.52193,4
25-134421,-122.566025,45.522567,4
25-123824,-122.599354,45.539649,4
25-123822,-122.533473,45.548014,4
26-109660,-122.609606,45.496793,4
25-123856,-122.694401,45.527599,4
25-123841,-122.705232,45.546127,4
25-123840,-122.65906,45.526873,4
25-201607,-122.573441,45.56198,4
25-201606,-122.596809,45.497242,4
26-140311,-122.592321,45.534454,4
26-140282,-122.508094,45.523217,4
25-190698,-122.735066,45.584569,4
25-167805,-122.625855,45.515734,4
25-190729,-122.692392,45.518361,4
25-190726,-122.509137,45.533694,4
25-201595,-122.65255,45.520462,4
25-201576,-122.635856,45.593872,4
25-123905,-122.686788,45.515802,4
25-123903,-122.68268,45.53192,4
25-123890,-122.532133,45.505889,4
25-123879,-122.551235,45.498132,4
26-140436,-122.66113,45.505678,4
25-190799,-122.677378,45.528028,4
25-190789,-122.677754,45.529099,4
25-190777,-122.774511,45.588091,4
25-190776,-122.540882,45.502461,4
25-190740,-122.561041,45.524127,4
25-134294,-122.675059,45.598326,4
25-123869,-122.669392,45.523092,4
26-140416,-122.65222,45.500414,4
26-140398,-122.585899,45.497195,4
25-123949,-122.61703,45.534202,4
26-119265,-122.568381,45.502507,4
26-129892,-122.489295,45.491011,4
25-156653,-122.64037,45.529945,4
25-156639,-122.665819,45.536613,4
25-156630,-122.515894,45.524613,4
25-222080,-122.724193,45.466514,4
25-222018,-122.68474,45.584534,4
25-222012,-122.63799,45.50458,4
25-222003,-122.58469,45.490446,4
25-102349,-122.634189,45.485134,4
25-167871,-122.568606,45.463927,4
25-167860,-122.63129,45.54383,4
25-222217,-122.660712,45.505985,4
25-123958,-122.667345,45.529554,4
26-129876,-122.757155,45.588682,4
26-129783,-122.671582,45.507093,4
25-201378,-122.553625,45.518674,4
25-102073,-122.676379,45.537403,4
26-149977,-122.622504,45.468276,4
25-102046,-122.699208,45.553863,4
25-102250,-122.721475,45.531899,4
26-129775,-122.762493,45.592046,4
26-129767,-122.732906,45.59222,4
25-222224,-122.521028,45.493326,4
25-123942,-122.601015,45.598858,4
25-201533,-122.679611,45.550755,4
25-201503,-122.650897,45.511293,4
26-109731,-122.579664,45.517703,4
26-109426,-122.677987,45.525814,4
26-109423,-122.611563,45.506648,4
25-112700,-122.674965,45.523719,4
25-112668,-122.757052,45.588582,4
26-129853,-122.696074,45.577786,4
25-167611,-122.661329,45.514437,4
25-167694,-122.65596,45.50701,4
26-129827,-122.558764,45.534055,4
25-222172,-122.522053,45.560243,4
26-150103,-122.693891,45.587187,4
25-102170,-122.660409,45.525517,4
25-102168,-122.667914,45.536907,4
26-119253,-122.648535,45.487125,4
25-123995,-122.762228,45.586495,4
25-134248,-122.70447,45.540315,4
25-201209,-122.673557,45.535391,4
25-102050,-122.538865,45.504481,3
25-102034,-122.697995,45.553391,3
26-150147,-122.692724,45.536235,3
25-102045,-122.57519,45.466922,3
25-102024,-122.675483,45.586136,3
25-167652,-122.496499,45.517329,3
25-167646,-122.532282,45.56759,3
25-102206,-122.599668,45.461833,3
25-102211,-122.559839,45.544695,3
25-222227,-122.564622,45.48435,3
25-222229,-122.527433,45.497222,3
25-222230,-122.483375,45.556693,3
25-167705,-122.661906,45.503204,3
25-167592,-122.637441,45.527457,3
25-167596,-122.542877,45.540894,3
25-167609,-122.58611,45.46769,3
25-167616,-122.637497,45.487074,3
25-167619,-122.53738,45.539714,3
25-167622,-122.669783,45.525329,3
25-167629,-122.604777,45.483311,3
25-167630,-122.698873,45.536917,3
26-129750,-122.676021,45.507398,3
26-129758,-122.653606,45.522908,3
25-123959,-122.671127,45.533086,3
25-201385,-122.622635,45.520996,3
25-201403,-122.672009,45.499339,3
25-201420,-122.634544,45.515474,3
25-201423,-122.588006,45.497436,3
26-109697,-122.664049,45.517221,3
26-109701,-122.533822,45.558802,3
25-134233,-122.65781,45.514775,3
25-134244,-122.646528,45.516392,3
25-124007,-122.622491,45.537752,3
25-201236,-122.659636,45.565528,3
26-119222,-122.673905,45.562441,3
26-119225,-122.521096,45.472876,3
26-109735,-122.573242,45.566377,3
26-109736,-122.496706,45.496981,3
26-109739,-122.6861,45.53446,3
26-140427,-122.66215,45.51729,3
25-201566,-122.689401,45.527818,3
25-201442,-122.579586,45.486547,3
25-201465,-122.700634,45.537665,3
25-123816,-122.7049,45.54518,3
26-140430,-122.737997,45.519842,3
26-140316,-122.632881,45.531946,3
26-140322,-122.647207,45.497772,3
26-140323,-122.530142,45.481884,3
26-140324,-122.56077,45.485771,3
26-140325,-122.578729,45.496874,3
25-134284,-122.673784,45.504987,3
25-134286,-122.671733,45.50701,3
25-190770,-122.560961,45.52335,3
26-140352,-122.509803,45.543475,3
25-201266,-122.571365,45.529598,3
25-123892,-122.527417,45.492927,3
26-109691,-122.649761,45.48767,3
26-109693,-122.562763,45.474487,3
26-109666,-122.666003,45.511455,3
25-201574,-122.635138,45.479919,3
25-201588,-122.680824,45.553558,3
25-190735,-122.577732,45.490239,3
25-134311,-122.548757,45.475309,3
25-134313,-122.519225,45.554058,3
25-134320,-122.579538,45.521191,3
25-134324,-122.666926,45.564361,3
25-190821,-122.513167,45.526471,3
25-201187,-122.628384,45.518973,3
26-140384,-122.682025,45.569896,3
26-140390,-122.554808,45.495517,3
26-140391,-122.601188,45.491861,3
25-134333,-122.623381,45.522675,3
25-134334,-122.647263,45.484823,3
25-134340,-122.630518,45.531203,3
26-140313,-122.602098,45.50344,3
26-109677,-122.593989,45.534849,3
25-123843,-122.568685,45.489421,3
25-123854,-122.699518,45.524452,3
25-123864,-122.635565,45.498186,3
26-109638,-122.603871,45.497331,3
26-109640,-122.59922,45.497335,3
25-134363,-122.679648,45.522954,3
25-134371,-122.597017,45.480939,3
25-134374,-122.53171,45.50531,3
25-190793,-122.535934,45.497133,3
26-140443,-122.602578,45.530946,3
25-123884,-122.542427,45.526181,3
25-190756,-122.637189,45.51888,3
25-190664,-122.673801,45.540397,3
25-123833,-122.565408,45.497351,3
25-123835,-122.56595,45.51065,3
25-123837,-122.604788,45.527474,3
25-123839,-122.58009,45.534422,3
26-140454,-122.51839,45.498748,3
26-140472,-122.698636,45.529826,3
26-140473,-122.65999,45.514463,3
26-140474,-122.716381,45.560875,3
26-140479,-122.580232,45.518993,3
25-190687,-122.568566,45.468431,3
26-140294,-122.713874,45.538311,3
25-134389,-122.62059,45.47919,3
25-134398,-122.531676,45.518857,3
25-134404,-122.561524,45.561348,3
25-201650,-122.63823,45.528436,3
25-201664,-122.593477,45.463267,3
25-201733,-122.677261,45.53045,3
25-201736,-122.679874,45.580023,3
25-201737,-122.657585,45.535061,3
25-201739,-122.631967,45.518354,3
25-134436,-122.678138,45.527389,3
25-134463,-122.542713,45.521137,3
25-134466,-122.62538,45.48931,3
25-134490,-122.56714,45.51936,3
26-140257,-122.648122,45.498901,3
26-140274,-122.657861,45.513895,3
25-190714,-122.720952,45.467676,3
25-190750,-122.673233,45.541505,3
25-190754,-122.673871,45.52121,3
25-190755,-122.675963,45.542568,3
26-119330,-122.643074,45.493698,3
25-134576,-122.639048,45.517346,3
25-134592,-122.62363,45.51809,3
26-119268,-122.540721,45.570809,3
26-119269,-122.547096,45.533741,3
26-119281,-122.536158,45.528574,3
26-119282,-122.688242,45.533789,3
26-119289,-122.732178,45.586831,3
26-140248,-122.730386,45.596828,3
25-134498,-122.564925,45.492822,3
25-134510,-122.569576,45.480107,3
25-134419,-122.565756,45.529234,3
25-134537,-122.689996,45.529193,3
25-123762,-122.630929,45.484729,3
25-123789,-122.698445,45.588724,3
25-201647,-122.647211,45.497711,3
25-134641,-122.568628,45.471021,3
25-134540,-122.608722,45.477708,3
26-119337,-122.654275,45.572063,3
26-119338,-122.650356,45.48773,3
26-119344,-122.65623,45.49032,3
25-134522,-122.734065,45.600896,3
26-119304,-122.517048,45.51842,3
26-119311,-122.67653,45.52899,3
25-190620,-122.659677,45.514531,3
25-190634,-122.579747,45.482337,3
25-190637,-122.578642,45.480611,3
25-190650,-122.582443,45.526264,3
25-190656,-122.506624,45.500801,3
25-190662,-122.63763,45.48182,3
25-190663,-122.680201,45.604698,3
26-119320,-122.489106,45.491034,3
25-134604,-122.692837,45.517752,3
26-140513,-122.656748,45.508656,3
26-140529,-122.655852,45.518078,3
25-123717,-122.687566,45.570775,3
25-123744,-122.699089,45.516359,3
25-201671,-122.6679,45.475871,3
25-201675,-122.560768,45.558783,3
25-201677,-122.587397,45.57323,3
25-201679,-122.693908,45.537095,3
25-201707,-122.636968,45.46428,3
25-212013,-122.636671,45.594068,3
25-212015,-122.657252,45.508702,3
25-212024,-122.55425,45.474958,3
25-212047,-122.62566,45.57123,3
25-134627,-122.564592,45.477632,3
25-134628,-122.570558,45.562963,3
25-123693,-122.516208,45.520013,3
25-123708,-122.653964,45.528935,3
25-201712,-122.616164,45.526414,3
25-201728,-122.538763,45.524069,3
25-123632,-122.49419,45.550628,3
25-123641,-122.560413,45.495717,3
25-190598,-122.640762,45.529973,3
26-140210,-122.676623,45.538272,3
26-140215,-122.675727,45.538189,3
25-134651,-122.68813,45.527802,3
25-134657,-122.548928,45.547867,3
25-134659,-122.690978,45.51638,3
25-134660,-122.688417,45.515129,3
26-140230,-122.56706,45.471649,3
26-140236,-122.606569,45.56264,3
26-140241,-122.729988,45.598003,3
25-190510,-122.662107,45.521573,3
26-119366,-122.513284,45.517404,3
26-119367,-122.686837,45.52861,3
26-119376,-122.643374,45.495067,3
26-119377,-122.563015,45.568137,3
25-190541,-122.663292,45.512293,3
25-190557,-122.603227,45.492383,3
25-144963,-122.564198,45.522514,3
25-144967,-122.564638,45.496346,3
26-140191,-122.75099,45.586574,3
26-140193,-122.577225,45.465642,3
26-119347,-122.616794,45.511962,3
26-119356,-122.672342,45.540929,3
25-190592,-122.567569,45.505667,3
25-123683,-122.676966,45.543208,3
25-123692,-122.761676,45.585907,3
25-190456,-122.600432,45.497465,3
25-190457,-122.557914,45.556131,3
26-140195,-122.523469,45.489072,3
26-140539,-122.583314,45.51567,3
26-140540,-122.525046,45.560769,3
26-140556,-122.615646,45.538949,3
26-109595,-122.523358,45.490553,3
26-109601,-122.660749,45.533283,3
25-201748,-122.550471,45.515629,3
26-109574,-122.667868,45.529787,3
25-212144,-122.756791,45.592555,3
25-145000,-122.665897,45.532467,3
25-134687,-122.59613,45.507435,3
25-134689,-122.662064,45.545962,3
25-190504,-122.655568,45.523905,3
25-190505,-122.513221,45.52224,3
25-190513,-122.559567,45.506696,3
25-190528,-122.577188,45.465532,3
26-140578,-122.766654,45.595847,3
26-140580,-122.625039,45.528939,3
26-140584,-122.496411,45.507199,3
25-212056,-122.656195,45.518692,3
25-212091,-122.594222,45.468642,3
25-112902,-122.59921,45.49903,3
26-140606,-122.625848,45.520287,3
26-140609,-122.537971,45.556969,3
26-149616,-122.577293,45.496831,3
25-145014,-122.674364,45.523524,3
25-145037,-122.62601,45.496007,3
25-145039,-122.581919,45.498799,3
25-145048,-122.491075,45.504585,3
25-145052,-122.556106,45.48739,3
26-109543,-122.755346,45.589997,3
26-109549,-122.60713,45.47302,3
26-109565,-122.60772,45.473614,3
26-109571,-122.674456,45.527021,3
26-109531,-122.59839,45.46956,3
25-212178,-122.63564,45.494787,3
25-212183,-122.661914,45.521112,3
25-212203,-122.680174,45.527694,3
26-119414,-122.64339,45.497827,3
25-145074,-122.52357,45.488711,3
25-145096,-122.608838,45.495395,3
25-145103,-122.68549,45.535686,3
25-145104,-122.687516,45.531421,3
25-145107,-122.574615,45.474859,3
26-140136,-122.681475,45.533997,3
26-140154,-122.733829,45.592661,3
26-140132,-122.52321,45.502008,3
25-145148,-122.537523,45.546259,3
25-145153,-122.556427,45.50887,3
25-190336,-122.668329,45.571731,3
25-190339,-122.672044,45.52451,3
26-119432,-122.687309,45.516819,3
25-190418,-122.679961,45.579524,3
25-190421,-122.599558,45.566366,3
25-190432,-122.568242,45.553505,3
25-190433,-122.620572,45.482776,3
25-145207,-122.581923,45.497417,3
25-145111,-122.689457,45.529237,3
25-190488,-122.645761,45.51355,3
25-190496,-122.611461,45.549411,3
25-112989,-122.659827,45.51829,3
25-112995,-122.686493,45.590188,3
25-190316,-122.684847,45.556055,3
25-145120,-122.566985,45.502008,3
25-145123,-122.486086,45.486925,3
25-145133,-122.717981,45.468286,3
25-212211,-122.68667,45.532905,3
25-112966,-122.56081,45.58246,3
25-112967,-122.706548,45.476037,3
25-112968,-122.699245,45.553648,3
25-112970,-122.561127,45.561483,3
25-112975,-122.631943,45.484649,3
25-112984,-122.661791,45.504379,3
25-212242,-122.64724,45.46606,3
25-212253,-122.659612,45.535781,3
26-109507,-122.628134,45.515503,3
25-145147,-122.697104,45.509001,3
26-140115,-122.591367,45.487104,3
26-119452,-122.557452,45.479371,3
25-145223,-122.648948,45.535814,3
26-109508,-122.70564,45.536127,3
26-109509,-122.59264,45.503402,3
25-112910,-122.688207,45.515869,3
25-112925,-122.665776,45.536643,3
25-112927,-122.618076,45.536614,3
26-149653,-122.725949,45.593939,3
26-109524,-122.732821,45.554618,3
25-212266,-122.691187,45.528505,3
25-212270,-122.661356,45.578812,3
25-145247,-122.561934,45.52824,3
26-119470,-122.568503,45.510031,3
26-119471,-122.637382,45.485767,3
25-190308,-122.681577,45.552087,3
25-190314,-122.585847,45.497219,3
25-112869,-122.547089,45.533467,3
