Scenario,Shelter,Name,Longitude,Latitude,Beds,People inside at the end,People turned away at this door,How full (%),Average walk of people who got in (m)
"B - More beds, in the places we already have",Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,101,101,114,100.0,475.46
"B - More beds, in the places we already have",Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,187,187,94,100.0,18033.25
"B - More beds, in the places we already have",Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,202,202,32,100.0,2227.78
"B - More beds, in the places we already have",BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,129,129,195,100.0,496.08
"B - More beds, in the places we already have",Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,116,116,166,100.0,787.83
"B - More beds, in the places we already have",Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,276,276,355,100.0,1735.53
"B - More beds, in the places we already have",Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,168,168,652,100.0,1275.69
"B - More beds, in the places we already have",Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,202,202,111,100.0,1715.29
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,132,132,226,100.0,3097.40
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,262,262,216,100.0,39475.07
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Clark_Center,Clark Center,-122.661942,45.512502,135,135,189,100.0,435.49
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,135,0,0,0.0,
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Jeans_Place,Jean's Place,-122.654323,45.523278,90,90,252,100.0,391.09
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,180,180,110,100.0,818.83
"C - Existing shelters a bit bigger, plus 10 new ones in better places",River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,150,150,117,100.0,1298.57
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,108,108,77,100.0,1321.40
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Willamette_Center,Willamette Center,-122.649327,45.485729,195,195,58,100.0,1341.75
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,108,108,143,100.0,624.62
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,114,114,277,100.0,11275.70
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,225,225,159,100.0,3128.96
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,78,3,0,3.8,3873.69
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,81,19,0,23.5,24794.67
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,32,32,52,100.0,1654.51
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,30,30,0,100.0,6804.60
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Avalon_Village,Avalon Village,-122.647011,45.504545,16,16,236,100.0,791.39
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Beacon_Village,Beacon Village,-122.585163,45.527605,16,16,153,100.0,426.98
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Dignity_Village,Dignity Village,-122.635880,45.590779,99,99,519,100.0,16899.48
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,63,63,102,100.0,1109.53
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,32,32,6,100.0,706.16
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Oak_Street_Village,Oak Street Village,-122.579609,45.520115,48,48,120,100.0,365.72
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,16,16,176,100.0,391.81
"C - Existing shelters a bit bigger, plus 10 new ones in better places",St_Andrews_Village,St Andrews Village,-122.721754,45.582464,16,16,25,100.0,653.67
"C - Existing shelters a bit bigger, plus 10 new ones in better places",St_Johns_Village,St Johns Village,-122.750203,45.590193,32,32,176,100.0,416.00
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,190,190,200,100.0,1041.97
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,45,45,158,100.0,531.22
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,45,45,0,100.0,963.59
