agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals
Site 280,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-140578,CJ,yes,960,2020-09-07T16:00,1025,2020-09-07T17:05,65.0,5081.74,5067.98,13.77,82.50,235.2883,88.5050,235.2883,1.1000,,,,1.000,1.000,SHELTERED,5067.98,13.76,0
Site 281,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-222265,,no,960,2020-09-07T16:00,,,,20722.29,12038.83,173.09,562.70,54002.8192,358.2050,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,20608.19,114.10,2
Site 282,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-145307,CJ,yes,960,2020-09-07T16:00,1000,2020-09-07T16:40,40.0,3176.64,3041.21,12.11,82.50,201.7833,55.0000,201.7833,0.6833,,,,1.000,1.000,SHELTERED,3041.21,135.43,0
Site 283,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-140238,,no,960,2020-09-07T16:00,,,,13133.75,4514.41,173.09,562.70,54002.8192,248.3417,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13083.77,49.97,2
Site 284,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-156494,,no,960,2020-09-07T16:00,,,,17519.04,8948.40,173.09,562.70,54002.8192,315.7467,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,17517.76,1.27,2
Site 285,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-167609,,no,960,2020-09-07T16:00,,,,20357.20,11696.05,173.09,562.70,54002.8192,354.1117,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,20265.41,91.78,2
Site 286,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-140437,,no,960,2020-09-07T16:00,,,,13066.48,13052.82,173.09,562.70,54002.8192,246.4733,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13052.82,13.66,1
Site 287,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-109739,OCC,yes,960,2020-09-07T16:00,995,2020-09-07T16:35,35.0,2733.72,2691.20,11.75,82.50,194.9083,48.1250,194.9083,0.6000,,,,1.000,1.000,SHELTERED,2691.20,42.52,0
Site 288,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-178707,OCC,yes,960,2020-09-07T16:00,981,2020-09-07T16:21,21.0,1714.96,1676.47,10.74,82.50,175.6583,28.8750,175.6583,0.3667,,,,1.000,1.000,SHELTERED,1676.47,38.49,0
Site 289,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-112836,CJ,yes,960,2020-09-07T16:00,1126,2020-09-07T18:46,166.0,12972.29,4401.67,20.76,112.10,389.5200,242.7367,389.5200,2.7833,,,,1.000,1.000,SHELTERED,12971.03,1.25,1
Site 290,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-123896,CJ,yes,960,2020-09-07T16:00,1115,2020-09-07T18:35,155.0,12099.22,3493.62,19.85,112.10,368.9683,222.1850,368.9683,2.6000,,,,1.000,1.000,SHELTERED,12062.98,36.24,1
Site 291,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-112764,,no,960,2020-09-07T16:00,,,,13990.88,13965.08,173.09,562.70,54002.8192,268.0842,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13965.08,25.80,1
Site 292,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-129843,CJ,yes,960,2020-09-07T16:00,1112,2020-09-07T18:32,152.0,11899.68,3311.32,19.61,112.10,363.3633,216.5800,363.3633,2.5500,,,,1.000,1.000,SHELTERED,11880.68,19.00,1
Site 293,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-129806,,no,960,2020-09-07T16:00,,,,17713.56,9142.92,173.09,562.70,54002.8192,318.9242,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,17712.28,1.27,2
Site 294,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-156313,OCC,yes,960,2020-09-07T16:00,984,2020-09-07T16:24,24.0,1940.71,1919.63,10.96,82.50,179.7833,33.0000,179.7833,0.4167,,,,1.000,1.000,SHELTERED,1919.63,21.08,0
Site 295,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-129883,OCC,yes,960,2020-09-07T16:00,988,2020-09-07T16:28,28.0,2191.12,2189.85,11.25,82.50,185.2833,38.5000,185.2833,0.4833,,,,1.000,1.000,SHELTERED,2189.85,1.27,0
Site 296,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-145012,,no,960,2020-09-07T16:00,,,,15317.48,6616.61,173.09,562.70,54002.8192,286.0900,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,15185.97,131.51,2
Site 297,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-134510,,no,960,2020-09-07T16:00,,,,19199.24,10628.57,173.09,562.70,54002.8192,338.7617,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,19197.93,1.31,2
Site 298,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-149983,,no,960,2020-09-07T16:00,,,,20266.21,11695.62,173.09,562.70,54002.8192,352.0650,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,20264.98,1.23,2
Site 299,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-134347,,no,960,2020-09-07T16:00,,,,20773.74,12169.12,173.09,562.70,54002.8192,359.2283,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,20738.48,35.26,2
Site 300,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-222100,,no,960,2020-09-07T16:00,,,,13234.77,13198.00,173.09,562.70,54002.8192,250.2100,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13198.00,36.77,1
Site 301,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-102367,OCC,yes,960,2020-09-07T16:00,989,2020-09-07T16:29,29.0,2279.06,2244.49,11.32,82.50,186.6583,39.8750,186.6583,0.5000,,,,1.000,1.000,SHELTERED,2244.49,34.57,0
Site 302,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-190464,CJ,yes,960,2020-09-07T16:00,1126,2020-09-07T18:46,166.0,13001.64,4406.41,20.76,112.10,389.5200,242.7367,389.5200,2.7833,,,,1.000,1.000,SHELTERED,12975.77,25.87,1
Site 303,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-119720,OCC,yes,960,2020-09-07T16:00,971,2020-09-07T16:11,11.0,906.00,871.79,10.00,82.50,161.9083,15.1250,161.9083,0.2000,,,,1.000,1.000,SHELTERED,871.79,34.21,0
Site 304,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-102062,,no,960,2020-09-07T16:00,,,,15530.35,6823.64,173.09,562.70,54002.8192,289.2675,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,15393.00,137.35,2
Site 305,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-130189,CJ,yes,960,2020-09-07T16:00,1117,2020-09-07T18:37,157.0,12273.32,3672.95,20.02,112.10,372.7050,225.9217,372.7050,2.6333,,,,1.000,1.000,SHELTERED,12242.31,31.01,1
Site 306,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-112910,CJ,yes,960,2020-09-07T16:00,1111,2020-09-07T18:31,151.0,11779.57,3176.75,19.52,112.10,361.4950,214.7117,361.4950,2.5333,,,,1.000,1.000,SHELTERED,11746.11,33.47,1
Site 307,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-201231,OCC,yes,960,2020-09-07T16:00,998,2020-09-07T16:38,38.0,3004.96,2987.97,11.97,82.50,199.0333,52.2500,199.0333,0.6500,,,,1.000,1.000,SHELTERED,2987.97,17.00,0
Site 308,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-134564,OCC,yes,960,2020-09-07T16:00,995,2020-09-07T16:35,35.0,2765.47,2764.17,11.75,82.50,194.9083,48.1250,194.9083,0.6000,,,,1.000,1.000,SHELTERED,2764.17,1.30,0
Site 309,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-119320,,no,960,2020-09-07T16:00,,,,16431.29,16352.54,173.09,562.70,54002.8192,300.9183,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,16352.54,78.75,1
Site 310,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-129839,,no,960,2020-09-07T16:00,,,,13113.25,4483.80,173.09,562.70,54002.8192,248.3417,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13053.16,60.09,2
Site 311,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-190367,,no,960,2020-09-07T16:00,,,,17386.23,8774.80,173.09,562.70,54002.8192,314.6875,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,17344.16,42.06,2
Site 312,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-134308,OCC,yes,960,2020-09-07T16:00,996,2020-09-07T16:36,36.0,2836.62,2819.54,11.82,82.50,196.2833,49.5000,196.2833,0.6167,,,,1.000,1.000,SHELTERED,2819.54,17.08,0
Site 313,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-112591,CJ,yes,960,2020-09-07T16:00,1109,2020-09-07T18:29,149.0,11650.28,3050.35,19.36,112.10,357.7583,210.9750,357.7583,2.5000,,,,1.000,1.000,SHELTERED,11619.71,30.57,1
Site 314,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-179016,CJ,yes,960,2020-09-07T16:00,1038,2020-09-07T17:18,78.0,6087.35,6082.30,14.52,82.50,251.2783,104.4950,251.2783,1.3167,,,,1.000,1.000,SHELTERED,6082.30,5.04,0
Site 315,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-123576,,no,960,2020-09-07T16:00,,,,18290.49,9668.39,173.09,562.70,54002.8192,326.3383,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,18237.75,52.74,2
Site 316,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-178753,OCC,yes,960,2020-09-07T16:00,976,2020-09-07T16:16,16.0,1279.58,1266.13,10.38,82.50,168.7833,22.0000,168.7833,0.2833,,,,1.000,1.000,SHELTERED,1266.13,13.45,0
Site 317,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-102370,OCC,yes,960,2020-09-07T16:00,980,2020-09-07T16:20,20.0,1600.18,1578.97,10.67,82.50,174.2833,27.5000,174.2833,0.3500,,,,1.000,1.000,SHELTERED,1578.97,21.20,0
Site 318,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-190505,,no,960,2020-09-07T16:00,,,,20739.73,12169.12,173.09,562.70,54002.8192,359.2283,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,20738.48,1.25,2
Site 319,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-123841,,no,960,2020-09-07T16:00,,,,13307.32,4733.35,173.09,562.70,54002.8192,252.0783,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13302.71,4.62,2
Site 320,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-149747,,no,960,2020-09-07T16:00,,,,13631.68,13582.99,173.09,562.70,54002.8192,259.5517,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13582.99,48.69,1
Site 321,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-201575,CJ,yes,960,2020-09-07T16:00,1119,2020-09-07T18:39,159.0,12392.13,3793.14,20.18,112.10,376.4417,229.6583,376.4417,2.6667,,,,1.000,1.000,SHELTERED,12362.50,29.63,1
Site 322,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-179113,OCC,yes,960,2020-09-07T16:00,973,2020-09-07T16:13,13.0,1058.63,1028.57,10.15,82.50,164.6583,17.8750,164.6583,0.2333,,,,1.000,1.000,SHELTERED,1028.57,30.05,0
Site 323,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-178863,CJ,yes,960,2020-09-07T16:00,1115,2020-09-07T18:35,155.0,12110.02,3489.98,19.85,112.10,368.9683,222.1850,368.9683,2.6000,,,,1.000,1.000,SHELTERED,12059.34,50.68,1
