agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 1524,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-130087,OPT1,yes,4740,2020-09-10T07:00,4827,2020-09-10T08:27,87.0,7762.66,7737.82,17.95,112.10,1443.9150,89.8108,1443.9150,7.4667,30,0,0,1.000,1.000,SHELTERED,7737.82,24.84,0,B_placement_optimized,1.4708,30,25-54,MALE,0,unimpaired,0,0,0,0,50.5390,0.6282,971.4971,1.000,971.4971
Site 1525,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-134416,OPT1,yes,4740,2020-09-10T07:00,4780,2020-09-10T07:40,40.0,3932.35,3926.62,17.50,112.10,1393.9375,39.8333,1393.9375,6.6833,25,0,0,1.000,1.000,SHELTERED,3926.62,5.73,0,B_placement_optimized,1.5991,25,25-54,FEMALE,0,unimpaired,0,0,0,0,49.2700,0.6185,890.5335,1.000,890.5335
Site 1526,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-129876,OPT2,yes,4740,2020-09-10T07:00,5782,2020-09-11T00:22,1042.0,13512.57,11415.66,51.21,299.55,4934.5642,236.7958,4934.5642,23.3833,50,0,0,1.000,1.000,SHELTERED,13509.48,3.08,0,B_placement_optimized,1.5591,50,25-54,MALE,0,unimpaired,0,0,0,0,61.2245,0.6353,3249.2479,1.000,3249.2479
Site 1527,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-119282,OPT1,yes,4740,2020-09-10T07:00,4774,2020-09-10T07:34,34.0,1866.88,1827.03,17.44,112.10,1387.9625,33.8583,1387.9625,6.5833,29,0,0,1.000,1.000,SHELTERED,1827.03,39.85,0,B_placement_optimized,0.8981,29,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,49.1080,0.6172,880.8540,1.000,880.8540
Site 1528,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-179185,OPT2,yes,4740,2020-09-10T07:00,5790,2020-09-11T00:30,1050.0,10012.85,7844.04,51.53,299.55,4972.7575,262.9833,4972.7575,23.5167,66,0,0,1.000,1.000,SHELTERED,9937.86,74.98,0,B_placement_optimized,1.1586,66,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1,61.2890,0.6351,3298.9952,1.000,3298.9952
Site 1529,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-201385,OPT1,yes,4740,2020-09-10T07:00,4810,2020-09-10T08:10,70.0,4560.00,4528.31,17.78,112.10,1425.0592,70.9550,1425.0592,7.1833,59,0,1,1.000,1.000,SHELTERED,4528.31,31.69,0,B_placement_optimized,1.0823,59,55-69,MALE,1,ambulant_impaired_no_aid,0,1,1,1,50.0800,0.6247,940.9506,1.000,940.9506
Site 1530,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-112593,OPT2,yes,4740,2020-09-10T07:00,5844,2020-09-11T01:24,1104.0,14233.70,12070.68,53.68,299.55,5228.7292,1462.5208,5228.7292,24.4167,68,0,0,1.000,1.000,SHELTERED,14164.51,69.20,0,B_placement_optimized,0.4122,68,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1,69.0932,0.7094,4666.6708,1.000,4666.6708
Site 1531,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-140218,OPT2,yes,4740,2020-09-10T07:00,5789,2020-09-11T00:29,1049.0,14352.57,12233.05,51.49,299.55,4967.9833,349.3500,4967.9833,23.5000,51,0,1,1.000,1.000,SHELTERED,14326.88,25.70,0,B_placement_optimized,1.1932,51,25-54,MALE,0,unimpaired,0,1,1,1,62.2383,0.6451,3383.3133,1.000,3383.3133
Site 1532,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-119253,OPT1,yes,4740,2020-09-10T07:00,4828,2020-09-10T08:28,88.0,5439.08,5424.64,17.96,112.10,1445.0242,90.9200,1445.0242,7.4833,50,0,0,1.000,1.000,SHELTERED,5424.64,14.44,0,B_placement_optimized,1.0296,50,25-54,FEMALE,0,unimpaired,0,0,0,0,50.5660,0.6284,973.2939,1.000,973.2939
Site 1533,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-145316,OPT1,yes,4740,2020-09-10T07:00,4799,2020-09-10T07:59,59.0,4368.77,4354.98,17.66,112.10,1412.8583,58.7542,1412.8583,7.0000,67,0,0,1.000,1.000,SHELTERED,4354.98,13.79,0,B_placement_optimized,1.2179,67,55-69,MALE,0,unimpaired,0,0,0,1,49.7830,0.6224,921.1853,1.000,921.1853
