agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 332,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-119651,,no,4740,2020-09-10T07:00,,,,21517.68,12925.49,173.09,562.70,54002.8192,630.8317,54002.8192,194.0000,22,0,0,1.000,1.000,REFUSED_ALL_FULL,21494.85,22.82,1,A_current_placement,1.4764,22,18-24,FEMALE,0,unimpaired,0,0,0,0
Site 333,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-212126,CJ,yes,4740,2020-09-10T07:00,5843,2020-09-11T01:23,1103.0,18250.01,9656.10,53.64,299.55,5224.0283,492.0708,5224.0283,24.4000,46,0,0,1.000,1.000,SHELTERED,18225.46,24.54,0,A_current_placement,1.7202,46,25-54,MALE,0,unimpaired,0,0,0,0
Site 334,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-190405,,no,4740,2020-09-10T07:00,,,,11153.41,2541.98,173.09,562.70,54002.8192,475.0842,54002.8192,194.0000,27,0,0,1.000,1.000,REFUSED_ALL_FULL,11111.34,42.07,1,A_current_placement,1.5277,27,25-54,MALE,0,unimpaired,0,0,0,0
Site 335,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-140605,,no,4740,2020-09-10T07:00,,,,10069.22,1498.61,173.09,562.70,54002.8192,536.6342,54002.8192,194.0000,47,1,0,1.000,1.000,REFUSED_ALL_FULL,10067.97,1.25,1,A_current_placement,1.3124,47,25-54,MALE,0,unimpaired,1,0,1,1
Site 336,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-201658,,no,4740,2020-09-10T07:00,,,,18294.55,9683.62,173.09,562.70,54002.8192,708.5542,54002.8192,194.0000,68,0,0,1.000,1.000,REFUSED_ALL_FULL,18252.98,41.57,1,A_current_placement,1.2138,68,55-69,MALE,0,unimpaired,0,0,0,1
Site 337,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-212017,,no,4740,2020-09-10T07:00,,,,11044.97,2437.54,173.09,562.70,54002.8192,568.3833,54002.8192,194.0000,32,0,0,1.000,1.000,REFUSED_ALL_FULL,11006.90,38.07,1,A_current_placement,1.2746,32,25-54,MALE,0,unimpaired,0,0,0,0
Site 338,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-156373,,no,4740,2020-09-10T07:00,,,,21700.09,13124.29,173.09,562.70,54002.8192,784.4558,54002.8192,194.0000,42,0,0,1.000,1.000,REFUSED_ALL_FULL,21693.65,6.44,1,A_current_placement,1.2123,42,25-54,MALE,0,unimpaired,0,0,0,0
Site 339,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-134294,,no,4740,2020-09-10T07:00,,,,16768.74,8014.00,173.09,562.70,54002.8192,591.6333,54002.8192,194.0000,27,0,1,1.000,1.000,REFUSED_ALL_FULL,16583.36,185.38,1,A_current_placement,1.3882,27,25-54,MALE,0,unimpaired,0,1,1,1
Site 340,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-201487,,no,4740,2020-09-10T07:00,,,,18012.17,9396.90,173.09,562.70,54002.8192,524.7125,54002.8192,194.0000,51,0,0,1.000,1.000,REFUSED_ALL_FULL,17966.26,45.91,1,A_current_placement,1.6077,51,25-54,MALE,0,unimpaired,0,0,0,0
Site 341,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-201619,,no,4740,2020-09-10T07:00,,,,19488.68,10918.01,173.09,562.70,54002.8192,660.0750,54002.8192,194.0000,65,0,0,1.000,1.000,REFUSED_ALL_FULL,19487.37,1.31,1,A_current_placement,1.3449,65,55-69,MALE,0,unimpaired,0,0,0,1
Site 342,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-119212,,no,4740,2020-09-10T07:00,,,,10266.76,1684.70,173.09,562.70,54002.8192,431.2242,54002.8192,194.0000,40,0,0,1.000,1.000,REFUSED_ALL_FULL,10254.06,12.70,1,A_current_placement,1.6488,40,25-54,MALE,0,unimpaired,0,0,0,0
Site 343,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-222267,,no,4740,2020-09-10T07:00,,,,22172.17,13576.83,173.09,562.70,54002.8192,664.3142,54002.8192,194.0000,38,0,0,1.000,1.000,REFUSED_ALL_FULL,22146.19,25.98,1,A_current_placement,1.4294,38,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 344,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-140227,,no,4740,2020-09-10T07:00,,,,10171.68,1565.57,173.09,562.70,54002.8192,779.1675,54002.8192,194.0000,25,1,0,1.000,1.000,REFUSED_ALL_FULL,10134.93,36.75,1,A_current_placement,0.8994,25,25-54,FEMALE,1,ambulant_impaired_no_aid,1,0,1,1
Site 345,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-178758,,no,4740,2020-09-10T07:00,,,,15549.78,6956.67,173.09,562.70,54002.8192,485.3633,54002.8192,194.0000,43,0,0,1.000,1.000,REFUSED_ALL_FULL,15526.03,23.75,1,A_current_placement,1.6599,43,25-54,MALE,0,unimpaired,0,0,0,0
Site 346,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-134632,,no,4740,2020-09-10T07:00,,,,15962.46,7357.09,173.09,562.70,54002.8192,687.4192,54002.8192,194.0000,53,0,1,1.000,1.000,REFUSED_ALL_FULL,15926.45,36.01,1,A_current_placement,1.1795,53,25-54,MALE,0,unimpaired,0,1,1,1
Site 347,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-123969,,no,4740,2020-09-10T07:00,,,,11189.30,2597.57,173.09,562.70,54002.8192,798.0883,54002.8192,194.0000,38,0,0,1.000,1.000,REFUSED_ALL_FULL,11166.93,22.37,1,A_current_placement,0.9032,38,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 348,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-167591,,no,4740,2020-09-10T07:00,,,,16888.43,8295.70,173.09,562.70,54002.8192,662.4625,54002.8192,194.0000,43,0,0,1.000,1.000,REFUSED_ALL_FULL,16865.06,23.37,1,A_current_placement,1.2479,43,25-54,MALE,0,unimpaired,0,0,0,0
Site 349,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-212340,,no,4740,2020-09-10T07:00,,,,14653.76,6063.98,173.09,562.70,54002.8192,841.4183,54002.8192,194.0000,56,0,0,1.000,1.000,REFUSED_ALL_FULL,14633.34,20.43,1,A_current_placement,0.9281,56,55-69,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 350,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-167740,,no,4740,2020-09-10T07:00,,,,11044.01,2442.55,173.09,562.70,54002.8192,503.2892,54002.8192,194.0000,30,0,0,1.000,1.000,REFUSED_ALL_FULL,11011.91,32.10,1,A_current_placement,1.4314,30,25-54,MALE,0,unimpaired,0,0,0,0
Site 351,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-201571,,no,4740,2020-09-10T07:00,,,,17742.13,9158.25,173.09,562.70,54002.8192,670.3708,54002.8192,194.0000,59,0,0,1.000,1.000,REFUSED_ALL_FULL,17727.61,14.52,1,A_current_placement,1.2619,59,55-69,MALE,0,unimpaired,0,0,0,1
Site 352,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-222260,,no,4740,2020-09-10T07:00,,,,21569.24,12989.00,173.09,562.70,54002.8192,724.2425,54002.8192,194.0000,35,0,0,1.000,1.000,REFUSED_ALL_FULL,21558.37,10.88,1,A_current_placement,1.3009,35,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 353,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-149858,,no,4740,2020-09-10T07:00,,,,14749.53,6178.92,173.09,562.70,54002.8192,624.4867,54002.8192,194.0000,48,1,0,1.000,1.000,REFUSED_ALL_FULL,14748.28,1.24,1,A_current_placement,1.2575,48,25-54,FEMALE,0,unimpaired,1,0,1,1
Site 354,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-119643,,no,4740,2020-09-10T07:00,,,,15829.43,7175.56,173.09,562.70,54002.8192,663.2550,54002.8192,194.0000,64,0,0,1.000,1.000,REFUSED_ALL_FULL,15744.92,84.51,1,A_current_placement,1.2147,64,55-69,MALE,0,unimpaired,0,0,0,1
Site 355,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109558,,no,4740,2020-09-10T07:00,,,,11836.01,3243.90,173.09,562.70,54002.8192,553.8417,54002.8192,194.0000,66,0,0,1.000,1.000,REFUSED_ALL_FULL,11813.26,22.74,1,A_current_placement,1.3259,66,55-69,MALE,0,unimpaired,0,0,0,1
Site 356,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-102189,,no,4740,2020-09-10T07:00,,,,10078.21,1469.08,173.09,562.70,54002.8192,555.4375,54002.8192,194.0000,27,0,0,1.000,1.000,REFUSED_ALL_FULL,10038.44,39.77,1,A_current_placement,1.2739,27,25-54,MALE,0,unimpaired,0,0,0,0
Site 357,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-212111,,no,4740,2020-09-10T07:00,,,,20213.02,11639.19,173.09,562.70,54002.8192,703.1033,54002.8192,194.0000,60,1,0,1.000,1.000,REFUSED_ALL_FULL,20208.55,4.47,1,A_current_placement,1.2884,60,55-69,MALE,0,unimpaired,1,0,1,1
Site 358,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-102476,,no,4740,2020-09-10T07:00,,,,12737.54,4166.91,173.09,562.70,54002.8192,455.1242,54002.8192,194.0000,32,0,0,1.000,1.000,REFUSED_ALL_FULL,12736.27,1.28,1,A_current_placement,1.6595,32,25-54,MALE,0,unimpaired,0,0,0,0
Site 359,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-150000,OCC,yes,4740,2020-09-10T07:00,4751,2020-09-10T07:11,11.0,943.53,920.57,17.24,112.10,1365.0583,10.9542,1365.0583,6.2000,28,0,0,1.000,1.000,SHELTERED,920.57,22.96,0,A_current_placement,1.4222,28,25-54,MALE,0,unimpaired,0,0,0,0
Site 360,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-212431,,no,4740,2020-09-10T07:00,,,,21369.41,12719.12,173.09,562.70,54002.8192,768.4533,54002.8192,194.0000,61,0,0,1.000,1.000,REFUSED_ALL_FULL,21288.48,80.93,1,A_current_placement,1.2264,61,55-69,MALE,0,unimpaired,0,0,0,1
