agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 1589,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-190577,OCC,yes,4740,2020-09-10T07:00,4759,2020-09-10T07:19,19.0,1807.30,1773.27,17.31,112.10,1373.0250,18.9208,1373.0250,6.3333,37,0,0,1.000,1.000,SHELTERED,1773.27,34.03,0,A_placement_current,1.5642,37,25-54,MALE,0,unimpaired,0,0,0,0,48.7030,0.6140,856.6553,1.000,856.6553
Site 1590,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-119483,CJ,yes,4740,2020-09-10T07:00,5903,2020-09-11T02:23,1163.0,18837.02,10228.81,55.95,299.55,5504.5983,887.5800,5504.5983,25.4000,38,1,0,1.000,1.000,SHELTERED,18798.17,38.84,0,A_placement_current,0.9949,38,25-54,FEMALE,0,unimpaired,1,0,1,1,65.3332,0.6641,4254.2608,1.000,4254.2608
Site 1591,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-149769,OCC,yes,4740,2020-09-10T07:00,4767,2020-09-10T07:27,27.0,1694.73,1658.23,17.38,112.10,1380.9917,26.8875,1380.9917,6.4667,41,0,0,1.000,1.000,SHELTERED,1658.23,36.50,0,A_placement_current,1.0179,41,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,48.9190,0.6157,869.5613,1.000,869.5613
Site 1592,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-129883,OCC,yes,4740,2020-09-10T07:00,4767,2020-09-10T07:27,27.0,2191.12,2189.85,17.38,112.10,1380.9917,26.8875,1380.9917,6.4667,52,0,1,1.000,1.000,SHELTERED,2189.85,1.27,0,A_placement_current,1.3363,52,25-54,MALE,0,unimpaired,0,1,1,1,48.9190,0.6157,869.5613,1.000,869.5613
Site 1593,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-123840,OCC,yes,4740,2020-09-10T07:00,4747,2020-09-10T07:07,7.0,641.64,600.76,17.20,112.10,1361.0750,6.9708,1361.0750,6.1333,50,0,0,1.000,1.000,SHELTERED,600.76,40.88,0,A_placement_current,1.3880,50,25-54,FEMALE,0,unimpaired,0,0,0,0,48.3790,0.6115,837.2963,1.000,837.2963
Site 1594,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-190432,OCC,yes,4740,2020-09-10T07:00,4822,2020-09-10T08:22,82.0,8136.43,8131.84,17.90,112.10,1438.3692,84.2650,1438.3692,7.3833,49,0,0,1.000,1.000,SHELTERED,8131.84,4.58,0,A_placement_current,1.6500,49,25-54,MALE,0,unimpaired,0,0,0,0,50.4040,0.6272,962.5128,1.000,962.5128
Site 1595,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-119587,CJ,yes,4740,2020-09-10T07:00,5899,2020-09-11T02:19,1159.0,19151.74,10581.13,55.80,299.55,5486.0417,869.0233,5486.0417,25.3333,45,0,0,1.000,1.000,SHELTERED,19150.49,1.25,0,A_placement_current,1.0205,45,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,65.2252,0.6634,4224.1990,1.000,4224.1990
Site 1596,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-178703,CJ,yes,4740,2020-09-10T07:00,5863,2020-09-11T01:43,1123.0,21504.11,12818.81,54.42,299.55,5318.0450,675.1867,5318.0450,24.7333,31,0,0,1.000,1.000,SHELTERED,21388.17,115.94,0,A_placement_current,1.3784,31,25-54,MALE,0,unimpaired,0,0,0,0,63.9838,0.6548,3925.9460,1.000,3925.9460
Site 1597,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-222172,CJ,yes,4740,2020-09-10T07:00,5980,2020-09-11T03:40,1240.0,21488.81,12720.28,58.77,299.55,5857.0650,1512.2817,5857.0650,26.6833,61,0,0,1.000,1.000,SHELTERED,21289.64,199.17,0,A_placement_current,0.6469,61,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1,70.1055,0.7034,5100.2141,1.000,5100.2141
Site 1598,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-109313,OCC,yes,4740,2020-09-10T07:00,4786,2020-09-10T07:46,46.0,3742.73,3709.32,17.55,112.10,1399.9125,45.8083,1399.9125,6.7833,31,1,0,1.000,1.000,SHELTERED,3709.32,33.41,0,A_placement_current,1.3558,31,25-54,MALE,0,unimpaired,1,0,1,1,49.4320,0.6197,900.2130,1.000,900.2130
Site 1599,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-167577,CJ,yes,4740,2020-09-10T07:00,6018,2020-09-11T04:18,1278.0,17694.85,9119.88,60.07,299.55,6024.9617,1572.7700,6024.9617,27.3167,69,0,1,1.000,1.000,SHELTERED,17689.24,5.61,0,A_placement_current,0.5528,69,55-69,MALE,1,ambulant_impaired_no_aid,0,1,1,1,70.1720,0.6996,5263.7243,1.000,5263.7243
Site 1600,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-134698,CJ,yes,4740,2020-09-10T07:00,5848,2020-09-11T01:28,1108.0,21695.97,13125.33,53.84,299.55,5247.5325,570.7592,5247.5325,24.4833,28,0,0,1.000,1.000,SHELTERED,21694.69,1.28,0,A_placement_current,1.6089,28,25-54,FEMALE,0,unimpaired,0,0,0,0,63.2253,0.6487,3777.4616,1.000,3777.4616
Site 1601,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-102270,OCC,yes,4740,2020-09-10T07:00,4763,2020-09-10T07:23,23.0,2445.92,2430.15,17.35,112.10,1377.0083,22.9042,1377.0083,6.4000,50,1,0,1.000,1.000,SHELTERED,2430.15,15.77,0,A_placement_current,1.7196,50,25-54,FEMALE,0,unimpaired,1,0,1,1,48.8110,0.6149,863.1083,1.000,863.1083
Site 1602,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-179240,CJ,yes,4740,2020-09-10T07:00,5889,2020-09-11T02:09,1149.0,17435.12,8804.38,55.42,299.55,5439.6500,761.2617,5439.6500,25.1667,69,0,0,1.000,1.000,SHELTERED,17373.74,61.38,0,A_placement_current,1.0996,69,55-69,MALE,0,unimpaired,0,0,0,1,64.3155,0.6553,4087.0608,1.000,4087.0608
Site 1603,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-140160,OCC,yes,4740,2020-09-10T07:00,4810,2020-09-10T08:10,70.0,4533.68,4429.40,17.78,112.10,1425.0592,70.9550,1425.0592,7.1833,60,0,0,1.000,1.000,SHELTERED,4429.40,104.28,0,A_placement_current,1.0778,60,55-69,MALE,0,unimpaired,0,0,0,1,50.0800,0.6247,940.9506,1.000,940.9506
