shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence,facility_type,provider,closure_date,priority_vulnerable,raw_capacity,raw_unit
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,1125 N Schmeer Rd,Portland,OR,,-122.679565,45.590053,76,61_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Transition Projects,,0,61,rooms
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,9723 NE Sandy Blvd,Portland,OR,,-122.562494,45.558812,150,120_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Do Good Multnomah,2026-12-31,0,120,rooms
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,121 NE 181st Ave,Gresham,OR,,-122.477620,45.522979,52,42_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Transition Projects,,0,42,rooms
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,18323 SE Stark St,Gresham,OR,,-122.474369,45.519541,54,43_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Do Good Multnomah,,0,43,rooms
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,8355 N Interstate Ave,Portland,OR,,-122.685370,45.583337,21,17_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Do Good Multnomah,,1,17,rooms
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,1952 N Lombard St,Portland,OR,,-122.686753,45.576626,20,18_units_x1.1_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Do Good Multnomah,,1,18,units
Avalon_Village,Avalon Village,2539 SE 19th Ave,Portland,OR,,-122.647011,45.504545,11,10_units_x1.1_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,WeShine PDX,,0,10,units
Beacon_Village,Beacon Village,621 NE 76th Ave,Portland,OR,,-122.585163,45.527605,11,10_units_x1.1_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Beacon Village,2026-08-31,0,10,units
Dignity_Village,Dignity Village,9401 NE Sunderland Ave,Portland,OR,,-122.635880,45.590779,66,60_units_x1.1_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Dignity Village,,0,60,units
Harrison_Community_Villa,Harrison Community Village,1818 SE 82nd Ave,Portland,OR,,-122.578184,45.509737,42,38_units_x1.1_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Do Good Multnomah,,0,38,units
