shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence,facility_type,provider,closure_date,priority_vulnerable,raw_capacity,raw_unit
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,1952 N Lombard St,Portland,OR,,-122.686753,45.576626,86,BED_SWEEP_s140_capacity_20x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Do Good Multnomah,,1,18,units
Avalon_Village,Avalon Village,2539 SE 19th Ave,Portland,OR,,-122.647011,45.504545,47,BED_SWEEP_s140_capacity_11x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,WeShine PDX,,0,10,units
Beacon_Village,Beacon Village,621 NE 76th Ave,Portland,OR,,-122.585163,45.527605,47,BED_SWEEP_s140_capacity_11x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Beacon Village,2026-08-31,0,10,units
Dignity_Village,Dignity Village,9401 NE Sunderland Ave,Portland,OR,,-122.635880,45.590779,283,BED_SWEEP_s140_capacity_66x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Dignity Village,,0,60,units
Harrison_Community_Villa,Harrison Community Village,1818 SE 82nd Ave,Portland,OR,,-122.578184,45.509737,180,BED_SWEEP_s140_capacity_42x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Do Good Multnomah,,0,38,units
Kenton_Womens_Village,Kenton Women's Village,2420 N Columbia Blvd,Portland,OR,,-122.691841,45.586652,90,BED_SWEEP_s140_capacity_21x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Catholic Charities of Oregon,,1,19,units
Oak_Street_Village,Oak Street Village,333 SE 82nd Ave,Portland,OR,,-122.579609,45.520115,137,BED_SWEEP_s140_capacity_32x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Straightway Services,,0,29,units
Parkrose_Community_Villa,Parkrose Community Village,12505 NE Halsey St,Portland,OR,,-122.533971,45.534177,47,BED_SWEEP_s140_capacity_11x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,WeShine,,0,10,units
St_Andrews_Village,St Andrews Village,7600 N Hereford Ave,Portland,OR,,-122.721754,45.582464,47,BED_SWEEP_s140_capacity_11x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,WeShine,,0,10,units
St_Johns_Village,St Johns Village,8005 N Richmond Ave,Portland,OR,,-122.750203,45.590193,90,BED_SWEEP_s140_capacity_21x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Do Good Multnomah,,0,19,units
