agent_id,sim_id,commit,random_seed,data_version,starting_encampment,start_lon,start_lat,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,chronic_physical,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score,aware_initial,aware_tick,heavy_belongings,has_pet,has_dependents,theta_z,blockages_encountered,push_throughs,reroutes,stuck_events
Site 4146,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-112540,-122.661678,45.517081,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,59,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.0739,59,45-64,MALE,1,ambulant_impaired_no_aid,0,0,0,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,1,0,0,0.597572,0,0,0,0
Site 4147,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-178866,-122.611350,45.491780,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,23,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.6256,23,18-44,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,-0.167109,0,0,0,0
Site 4148,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-145109,-122.688467,45.529976,NEW_optimized_site_01,yes,4560,2020-09-10T04:00,4572,2020-09-10T04:12,12.0,870.20,868.97,28.88,196.20,2200.5667,8.8400,2200.5667,7.0000,46,1,0,1.000,1.000,SHELTERED,868.97,1.23,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.1673,46,45-64,FEMALE,0,unimpaired,1,0,1,0,1,46.6840,0.6127,1351.2741,1.000,1351.2741,1,0,1,0,0,-0.848651,0,0,0,0
Site 4149,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-145216,-122.642457,45.516210,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,60,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.4113,60,45-64,MALE,1,ambulant_impaired_no_aid,0,0,0,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,0.385946,0,0,0,0
Site 4150,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,26-129822,-122.648104,45.517110,Jeans_Place,yes,3780,2020-09-09T15:00,3809,2020-09-09T15:29,29.0,1205.86,1167.06,27.84,196.20,1767.1150,9.5942,1767.1150,7.0000,61,0,0,1.000,1.000,SHELTERED,1167.06,38.80,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,0.6795,61,45-64,MALE,1,ambulant_impaired_no_aid,0,0,0,0,1,39.2130,0.6177,1087.6303,1.000,1087.6303,1,0,1,0,0,2.315128,0,0,0,0
Site 4151,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-112885,-122.678114,45.613055,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,18,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.5062,18,18-44,FEMALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,0,0,0.227354,0,0,0,0
Site 4152,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-134627,-122.564592,45.477632,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,34,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,0.9354,34,18-44,MALE,1,ambulant_impaired_no_aid,0,0,0,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,0,0,-1.029407,0,0,0,0
Site 4153,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-190352,-122.664982,45.526246,NEW_optimized_site_10,yes,17760,2020-09-19T08:00,17813,2020-09-19T08:53,53.0,1580.78,1518.52,428.51,984.75,127218.7850,419.6275,127218.7850,225.9000,34,1,0,1.000,1.000,SHELTERED,1518.52,62.26,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,0.4904,34,18-44,FEMALE,1,ambulant_impaired_no_aid,1,0,1,1,1,181.9910,0.6130,78027.2826,1.000,78027.2826,1,0,1,0,0,1.033948,0,0,0,0
Site 4154,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-212233,-122.695269,45.528385,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,25,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.3633,25,18-44,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,1.269892,0,0,0,0
Site 4155,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-222072,-122.534600,45.565590,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,31,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.2748,31,18-44,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,1,0,0,-2.089847,0,0,0,0
