agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals
Site 276,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-109372,,no,960,2020-09-07T16:00,,,,12492.89,12449.10,173.09,562.70,54002.8192,233.3950,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12449.10,43.79,1
Site 277,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-109550,,no,960,2020-09-07T16:00,,,,5916.59,5881.64,173.09,562.70,54002.8192,102.0350,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,5881.64,34.95,1
Site 278,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-119703,CJ,yes,960,2020-09-07T16:00,1002,2020-09-07T16:42,42.0,3338.48,3315.71,12.25,82.50,204.5333,57.7500,204.5333,0.7167,,,,1.000,1.000,SHELTERED,3315.71,22.77,0
Site 279,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-221982,,no,960,2020-09-07T16:00,,,,10305.36,10304.13,173.09,562.70,54002.8192,181.0817,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10304.13,1.23,1
Site 280,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-140578,,no,960,2020-09-07T16:00,,,,5081.74,5067.98,173.09,562.70,54002.8192,89.7350,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,5067.98,13.76,1
Site 281,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-222265,,no,960,2020-09-07T16:00,,,,12152.93,12038.83,173.09,562.70,54002.8192,224.0533,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12038.83,114.10,1
Site 282,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-145307,CJ,yes,960,2020-09-07T16:00,1000,2020-09-07T16:40,40.0,3176.64,3041.21,12.11,82.50,201.7833,55.0000,201.7833,0.6833,,,,1.000,1.000,SHELTERED,3041.21,135.43,0
Site 283,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-140238,,no,960,2020-09-07T16:00,,,,4564.39,4514.41,173.09,562.70,54002.8192,81.1250,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,4514.41,49.97,1
Site 284,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-156494,,no,960,2020-09-07T16:00,,,,8949.68,8948.40,173.09,562.70,54002.8192,150.0050,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,8948.40,1.27,1
Site 285,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-167609,,no,960,2020-09-07T16:00,,,,11787.84,11696.05,173.09,562.70,54002.8192,216.5800,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11696.05,91.78,1
