agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 454,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-145422,,no,4740,2020-09-10T07:00,,,,13948.89,5378.29,173.09,562.70,54002.8192,715.1575,54002.8192,194.0000,25,0,0,1.000,1.000,REFUSED_ALL_FULL,13947.65,1.24,1,HISTORICAL_capacity_reference_not_a_scenario,1.0791,25,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,193.9728,0.6217,33664.0288,1.000,33664.0288
Site 455,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-119691,,no,4740,2020-09-10T07:00,,,,20103.83,11533.20,173.09,562.70,54002.8192,767.7533,54002.8192,194.0000,34,0,1,1.000,1.000,REFUSED_ALL_FULL,20102.56,1.27,1,HISTORICAL_capacity_reference_not_a_scenario,1.1887,34,25-54,MALE,0,unimpaired,0,1,1,1,195.0838,0.6253,33717.1506,1.000,33717.1506
Site 456,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-134248,CJ,yes,4740,2020-09-10T07:00,5843,2020-09-11T01:23,1103.0,12886.58,4275.18,53.64,299.55,5224.0283,437.3167,5224.0283,24.4000,45,0,0,1.000,1.000,SHELTERED,12844.54,42.03,0,HISTORICAL_capacity_reference_not_a_scenario,1.7025,45,25-54,FEMALE,0,unimpaired,0,0,0,0,61.5248,0.6318,3628.3471,1.000,3628.3471
Site 457,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-156589,,no,4740,2020-09-10T07:00,,,,17493.85,8840.47,173.09,562.70,54002.8192,671.8417,54002.8192,194.0000,35,0,0,1.000,1.000,REFUSED_ALL_FULL,17409.83,84.03,1,HISTORICAL_capacity_reference_not_a_scenario,1.2496,35,25-54,FEMALE,0,unimpaired,0,0,0,0,194.2758,0.6227,33620.2798,1.000,33620.2798
Site 458,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-145133,,no,4740,2020-09-10T07:00,,,,18635.23,10064.61,173.09,562.70,54002.8192,716.6292,54002.8192,194.0000,40,0,0,1.000,1.000,REFUSED_ALL_FULL,18633.97,1.26,1,HISTORICAL_capacity_reference_not_a_scenario,1.2115,40,25-54,FEMALE,0,unimpaired,0,0,0,0,194.6462,0.6239,33665.5152,1.000,33665.5152
Site 459,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-222142,,no,4740,2020-09-10T07:00,,,,10992.72,2353.96,173.09,562.70,54002.8192,532.4900,54002.8192,194.0000,26,0,0,1.000,1.000,REFUSED_ALL_FULL,10923.32,69.40,1,HISTORICAL_capacity_reference_not_a_scenario,1.3597,26,25-54,MALE,0,unimpaired,0,0,0,0,192.6093,0.6173,33479.5346,1.000,33479.5346
Site 460,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-134627,,no,4740,2020-09-10T07:00,,,,20240.71,11665.52,173.09,562.70,54002.8192,674.6100,54002.8192,194.0000,32,0,0,1.000,1.000,REFUSED_ALL_FULL,20234.88,5.83,1,HISTORICAL_capacity_reference_not_a_scenario,1.3443,32,25-54,MALE,0,unimpaired,0,0,0,0,194.5620,0.6236,33623.0758,1.000,33623.0758
Site 461,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-190613,OCC,yes,4740,2020-09-10T07:00,4754,2020-09-10T07:14,14.0,1071.35,1036.81,17.27,112.10,1368.0458,13.9417,1368.0458,6.2500,44,0,0,1.000,1.000,SHELTERED,1036.81,34.54,0,HISTORICAL_capacity_reference_not_a_scenario,1.1912,44,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,48.5680,0.6130,848.5890,1.000,848.5890
Site 462,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-134348,,no,4740,2020-09-10T07:00,,,,12335.84,3728.84,173.09,562.70,54002.8192,616.5050,54002.8192,194.0000,62,0,0,1.000,1.000,REFUSED_ALL_FULL,12298.20,37.63,1,HISTORICAL_capacity_reference_not_a_scenario,1.2019,62,55-69,MALE,0,unimpaired,0,0,0,1,193.2153,0.6193,33564.3897,1.000,33564.3897
Site 463,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-190723,,no,4740,2020-09-10T07:00,,,,21880.70,13277.81,173.09,562.70,54002.8192,710.1400,54002.8192,194.0000,69,0,0,1.000,1.000,REFUSED_ALL_FULL,21847.17,33.53,1,HISTORICAL_capacity_reference_not_a_scenario,1.3351,69,55-69,FEMALE,0,unimpaired,0,0,0,1,194.9323,0.6248,33658.9611,1.000,33658.9611
